10 11 2017 01:11:56 INSERT INTO viaje(fecha,origen,destino,tipo_carga) VALUES ('2017-12-24 22:00:00','Polo Norte','Todo el mundo','Regalos navide&ntilde;os')
10 11 2017 01:11:23 INSERT INTO vehiculo_chofer_viaje(idViaje,idUsuario,idVehiculo,idUsuario2,idVehiculo2) VALUES ('11','2','1','7','5')
10 11 2017 01:11:16 INSERT INTO Reporte_viaje(idViaje, idChofer, tiempo, latitud, longitud, motivo, km, combustible, descripcion) 
            VALUES ('', '', '2017-11-10 01:39:58', '-58.58213130000001', '-34.7047208', 'Parada Tecnica', '15', '40', 'Carga de combustible')
10 11 2017 01:11:34 INSERT INTO Reporte_viaje(idViaje, idChofer, tiempo, latitud, longitud, motivo, km, combustible, descripcion) 
            VALUES ('', '', '2017-11-10 01:42:38', '-58.58213130000001', '-34.7047208', 'Desvio', '20', '', 'Choque')
10 11 2017 01:11:39 INSERT INTO Reporte_viaje(idViaje, idChofer, tiempo, latitud, longitud, motivo, km, combustible, descripcion) 
            VALUES ('', '7', '2017-11-10 01:58:20', '-58.58213130000001', '-34.7047208', 'Parada Tecnica', '50', '20', 'Cargar gasoil')
10 11 2017 02:11:08 INSERT INTO Reporte_viaje(idViaje, idChofer, tiempo, latitud, longitud, motivo, km, combustible, descripcion) 
            VALUES ('', '7', '2017-11-10 01:59:55', '-58.58213130000001', '-34.7047208', 'Parada Tecnica', '100', '60', 'Carga de combustible')
10 11 2017 02:11:40 INSERT INTO Reporte_viaje(idViaje, idChofer, tiempo, latitud, longitud, motivo, km, combustible, descripcion) 
            VALUES ('11', '7', '2017-11-10 02:01:33', '-58.58213130000001', '-34.7047208', 'Parada Tecnica', '150', '60', 'Carga de combustible')
10 11 2017 02:11:16 INSERT INTO Reporte_viaje(idViaje, idChofer, tiempo, latitud, longitud, motivo, km, combustible, descripcion) 
            VALUES ('11', '7', '2017-11-10 02:02:09', '-58.58213130000001', '-34.7047208', 'Parada Tecnica', '200', '60', 'Carga de combustible')
10 11 2017 02:11:56 INSERT INTO Reporte_viaje(idViaje, idChofer, tiempo, latitud, longitud, motivo, km, combustible, descripcion) 
            VALUES ('11', '7', '2017-11-10 02:02:50', '-58.58213130000001', '-34.7047208', 'Parada Tecnica', '250', '60', 'Carga de combustible')
